"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","territory"
"239B",2390002,"intact",561022,4978010,"239"
"240C",2400003,"intact",446789,4863292,"240"
"241A",2410001,"intact",560204,4919077,"241"
"242B",2420002,"intact",592471,4932978,"242"
"244C",2440003,"intact",436278,4924729,"244"
"245B",2450002,"intact",505552,5052697,"245"
"246C",2460003,"intact",543731,4906821,"246"
"248B",2480002,"intact",540034,5064660,"248"
"249D",2490004,"intact",445308,4854715,"249"
"250B",2500002,"intact",506078,4909119,"250"
"251D",2510004,"intact",455926,4934950,"251"
"252F",2520006,"intact",354275,4970430,"252"
"254C",2540003,"intact",560224,4899330,"254"
"256E",2560005,"intact",608069,5007686,"256"
"257B",2570002,"intact",423730,4854464,"257"
"258C",2580003,"intact",577137,5015762,"258"
"259C",2590003,"intact",604339,5005189,"259"
"260B",2600002,"intact",610916,5012878,"260"
"262C",2620003,"intact",445217,4924265,"262"
"263B",2630002,"intact",645831,4964518,"263"
"264A",2640001,"intact",481438,5082150,"264"
"266B",2660002,"intact",628354,4999664,"266"
"267B",2670002,"intact",591111,4919734,"267"
"268C",2680003,"intact",409272,4849370,"268"
"269C",2690003,"intact",548378,5043091,"269"
"270F",2700006,"intact",474396,4942318,"270"
"271B",2710002,"intact",500850,4931387,"271"
"272D",2720004,"intact",440212,4882812,"272"
"273B",2730002,"intact",637533,5004296,"273"
"274B",2740002,"intact",403720,4892037,"274"
"275E",2750005,"intact",476495,4985769,"275"
"276D",2760004,"intact",510898,4874960,"276"
"277A",2770001,"intact",528428,4972668,"277"
"278C",2780003,"intact",453282,4939183,"278"
"279C",2790003,"intact",487783,5158434,"279"
"280A",2800001,"intact",440603,5059187,"280"
"281A",2810001,"intact",391353,5011110,"281"
"282A",2820001,"intact",367667,4946617,"282"
"283B",2830002,"intact",615182,5048950,"283"
"285B",2850002,"intact",509337,5061660,"285"
"286A",2860001,"intact",555710,4920714,"286"
"287B",2870002,"intact",432686,4940307,"287"
"288B",2880002,"intact",612874,4943363,"288"
"289C",2890003,"intact",528211,5054803,"289"
"290B",2900002,"intact",435523,4850932,"290"
"291A",2910001,"intact",429562,4957600,"291"
"292C",2920003,"intact",452885,4847080,"292"
"293B",2930002,"intact",525726,4912501,"293"
"294B",2940002,"intact",512026,4883245,"294"
"295B",2950002,"intact",471784,4868324,"295"
"296A",2960001,"intact",573715,4994834,"296"
"297C",2970003,"intact",571927,4911706,"297"
"298C",2980003,"intact",630234,4945668,"298"
"299A",2990001,"intact",553518,5058653,"299"
"301C",3010003,"intact",422456,5003958,"301"
"302A",3020001,"intact",396894,5004160,"302"
"303C",3030003,"intact",518306,4894182,"303"
"304D",3040004,"intact",529629,5004358,"304"
"305A",3050001,"intact",533399,4962870,"305"
"306B",3060002,"intact",491084,4900928,"306"
"307C",3070003,"intact",544758,4890949,"307"
"308C",3080003,"intact",448360,4917317,"308"
"309B",3090002,"intact",401476,5045840,"309"
"310B",3100002,"intact",576477,4911185,"310"
"312C",3120003,"intact",521582,4908814,"312"
"313D",3130004,"intact",550718,4883014,"313"
"314G",3140007,"intact",541562,4901841,"314"
"315A",3150001,"intact",592538,4932185,"315"
"316E",3160005,"intact",427035,4856893,"316"
"317B",3170002,"intact",447488,4906476,"317"
"318A",3180001,"intact",513343,4979117,"318"
"319B",3190002,"intact",520389,4953096,"319"
"321B",3210002,"intact",453443,5140460,"321"
"322A",3220001,"intact",482815,5135327,"322"
"323A",3230001,"intact",540330,5029540,"323"
"324B",3240002,"intact",520668,4903231,"324"
"325A",3250001,"intact",513815,4945630,"325"
"326B",3260002,"intact",533497,4889555,"326"
"327A",3270001,"intact",533356,4940721,"327"
"328B",3280002,"intact",527669,4877003,"328"
"329A",3290001,"intact",585915,4924792,"329"
"330B",3300002,"intact",526512,5128624,"330"
"331A",3310001,"intact",534955,5013041,"331"
"332A",3320001,"intact",475421,5058580,"332"
"333A",3330001,"intact",421902,4902780,"333"
"334C",3340003,"intact",410259,4871615,"334"
"335C",3350003,"intact",456576,4873578,"335"
"336A",3360001,"intact",485676,4915841,"336"
"337B",3370002,"intact",587016,5183018,"337"
"338C",3380003,"intact",530763,5018781,"338"
"339D",3390004,"intact",511140,4921150,"339"
"340E",3400005,"intact",506252,4903438,"340"
"341D",3410004,"intact",416646,4928206,"341"
"343B",3430002,"intact",508268,5151362,"343"
"344B",3440002,"intact",572794,5104203,"344"
"345C",3450003,"intact",434193,4858230,"345"
"346B",3460002,"intact",551499,4919476,"346"
"348B",3480002,"intact",515481,5167933,"348"
"349B",3490002,"intact",470842,5133111,"349"
"350A",3500001,"intact",568921,5044900,"350"
"351B",3510002,"intact",435550,4865505,"351"
"352C",3520003,"intact",617236,4935200,"352"
"353D",3530004,"intact",628817,4993153,"353"
"354A",3540001,"intact",505134,4984465,"354"
"355B",3550002,"intact",473944,5015454,"355"
"357A",3570001,"intact",527939,4984720,"357"
"359C",3590003,"intact",655726,4975678,"359"
"360A",3600001,"intact",561407,4948180,"360"
"362C",3620003,"intact",509119,4912183,"362"
"363A",3630001,"intact",506914,5125982,"363"
"364B",3640002,"intact",437506,5179785,"364"
"365B",3650002,"intact",347940,4959595,"365"
"366C",3660003,"intact",651674,4957415,"366"
"367A",3670001,"intact",515545,5162343,"367"
"368A",3680001,"intact",473207,5120800,"368"
"369A",3690001,"intact",542238,4942895,"369"
"370C",3700003,"intact",540422,4888464,"370"
"371A",3710001,"intact",514081,4904350,"371"
"372B",3720002,"intact",587635,5098666,"372"
"373B",3730002,"intact",597228,4929964,"373"
"375C",3750003,"intact",523195,4888520,"375"
"376A",3760001,"intact",386158,4858800,"376"
"377A",3770001,"intact",421975,5008617,"377"
"378A",3780001,"intact",616444,4982460,"378"
"379D",3790004,"intact",430070,4862212,"379"
"380B",3800002,"intact",430816,4981666,"380"
"381B",3810002,"intact",645913,4972025,"381"
"382A",3820001,"intact",486337,4955890,"382"
"383A",3830001,"intact",451996,4913290,"383"
"384A",3840001,"intact",581748,5070056,"384"
"385A",3850001,"intact",516432,5053892,"385"
"386B",3860002,"intact",538810,5027179,"386"
"387A",3870001,"intact",543015,5048335,"387"
"389A",3890001,"intact",471556,5071091,"389"
"390B",3900002,"intact",485325,5108996,"390"
"391E",3910005,"intact",533315,4899677,"391"
"392A",3920001,"intact",504119,4959000,"392"
"393A",3930001,"intact",523408,4937178,"393"
"394C",3940003,"intact",525129,4902598,"394"
"395B",3950002,"intact",489990,4858972,"395"
"396A",3960001,"intact",429110,4847760,"396"
"397B",3970002,"intact",430446,4890083,"397"
"398B",3980002,"intact",363521,4976943,"398"
"399A",3990001,"intact",582552,5168290,"399"
"400A",4000001,"intact",469088,4874008,"400"
"401B",4010002,"intact",592722,4926205,"401"
"402A",4020001,"intact",539131,4883520,"402"
"403B",4030002,"intact",470618,4893827,"403"
"404A",4040001,"intact",470568,4904209,"404"
"405A",4050001,"intact",404875,4909882,"405"
"406B",4060002,"intact",476701,4883813,"406"
"407D",4070004,"intact",412233,4890971,"407"
"408D",4080004,"intact",403044,4889584,"408"
"409A",4090001,"intact",478436,4893748,"409"
"410D",4100004,"intact",428978,4907335,"410"
"412B",4120002,"intact",404228,4926554,"412"
"413A",4130001,"intact",656628,4973970,"413"
"414B",4140002,"intact",445216,4957465,"414"
"416B",4160002,"intact",438527,4931488,"416"
"417B",4170002,"intact",558055,4935046,"417"
"418C",4180003,"intact",601278,4941742,"418"
"419B",4190002,"intact",595465,4937357,"419"
"420B",4200002,"intact",588601,4921173,"420"
"421A",4210001,"intact",521862,4921804,"421"
"422C",4220003,"intact",521665,4917901,"422"
"423A",4230001,"intact",475038,4928344,"423"
"424A",4240001,"intact",442011,4863528,"424"
"425B",4250002,"intact",649033,4967783,"425"
"426A",4260001,"intact",649447,4970734,"426"
"427A",4270001,"intact",637618,4940940,"427"
"428A",4280001,"intact",620312,4937477,"428"
"429E",4290005,"intact",543148,4892383,"429"
"431A",4310001,"intact",446111,4870679,"431"
"432B",4320002,"intact",438462,4844244,"432"
"433B",4330002,"intact",415787,4979208,"433"
"434C",4340003,"intact",461071,5037838,"434"
"435A",4350001,"intact",592764,4935364,"435"
"436A",4360001,"intact",408952,5054623,"436"
"437A",4370001,"intact",565884,4967431,"437"
"439A",4390001,"intact",499225,5063724,"439"
"441A",4410001,"intact",462270,5111001,"441"
"442A",4420001,"intact",637238,4961895,"442"
"444A",4440001,"intact",398900,5052519,"444"
"445A",4450001,"intact",558468,4903647,"445"
"446A",4460001,"intact",593822,5030836,"446"
"447A",4470001,"intact",544920,5212787,"447"
"448A",4480001,"intact",543272,5031697,"448"
"449A",4490001,"intact",553687,5081661,"449"
"450A",4500001,"intact",536491,5125532,"450"
"451B",4510002,"intact",425497,4862548,"451"
"452A",4520001,"intact",597243,4956956,"452"
"453B",4530002,"intact",360549,4867556,"453"
"454A",4540001,"intact",390304,4877521,"454"
"455A",4550001,"intact",580427,5172332,"455"
"456B",4560002,"intact",531679,4948332,"456"
"457B",4570002,"intact",525344,4967564,"457"
"458A",4580001,"intact",551000,4924844,"458"
"459D",4590004,"intact",430793,4867585,"459"
"460A",4600001,"intact",529565,4998727,"460"
"461A",4610001,"intact",514903,5066218,"461"
"462A",4620001,"intact",521112,5039854,"462"
"463A",4630001,"intact",533713,4980102,"463"
"464A",4640001,"intact",516513,4957120,"464"
"465B",4650002,"intact",453917,4896722,"465"
"466B",4660002,"intact",395400,4925023,"466"
"467A",4670001,"intact",565079,4997624,"467"
"468A",4680001,"intact",545999,5018118,"468"
"470B",4700002,"intact",523451,4885862,"470"
"471C",4710003,"intact",516377,4877468,"471"
"472B",4720002,"intact",495257,4873311,"472"
"473B",4730002,"intact",511908,4897878,"473"
"474A",4740001,"intact",470369,4877928,"474"
"475C",4750003,"intact",587456,4935350,"475"
"476A",4760001,"intact",582464,5051350,"476"
"478D",4780004,"intact",530818,4896899,"478"
"479C",4790003,"intact",415064,4846272,"479"
"480C",4800003,"intact",509365,4887088,"480"
"481A",4810001,"intact",507019,4881573,"481"
"482A",4820001,"intact",398700,5027202,"482"
"483C",4830003,"intact",388331,5004670,"483"
"484A",4840001,"intact",460204,5127932,"484"
"485C",4850003,"intact",649335,4968786,"485"
