"","nest_id","nest_area","lat","long","x","y"
"196","637A","637",4853870,420799,4853870,420799
"197","399A","399",5168290,582552,5168290,582552
"198","319B","319",4953096,520388,4953096,520388
"199","615A","615",5217642,550432,5217642,550432
"200","002F","002",4906670,412260,4906670,412260
"201","298C","298",4945667,630234,4945667,630234
"202","165E","165",4971570,658654,4971570,658654
"203","022A","022",4910704,533612,4910704,533612
"204","439A","439",5063724,499224,5063724,499224
"205","367A","367",5162343,515544,5162343,515544
"206","614A","614",4940765,503044,4940765,503044
"207","464B","464",4957111,516546,4957111,516546
"208","501C","501",4852144,508760,4852144,508760
"209","654B","654",4919868,487604,4919868,487604
"210","525A","525",4976217,640603,4976217,640603
"211","077B","077",4996925,586783,4996925,586783
"212","394C","394",4902598,525128,4902598,525128
"213","656A","656",4857029,420472,4857029,420472
"214","049H","049",4932754,598041,4932754,598041
"215","483C","483",5004669,388330,5004669,388330
"216","395B","395",4858972,489989,4858972,489989
"217","405A","405",4909882,404875,4909882,404875
"218","066F","066",4974460,640793,4974460,640793
"219","650B","650",5080295,457120,5080295,457120
"220","690B","690",4961585,517720,4961585,517720
"221","700A","700",4964943,577926,4964943,577926
"222","372B","372",5098665,587635,5098665,587635
"223","607A","607",4879680,438868,4879680,438868
"224","161C","161",4985612,646209,4985612,646209
"225","342C","342",4923067,612887,4923067,612887
"226","229G","229",4896564,532611,4896564,532611
"227","335C","335",4873577,456575,4873577,456575
"228","216C","216",5158406,471750,5158406,471750
"229","740A","740",5128183,469259,5128183,469259
"230","559A","559",4952092,437773,4952092,437773
"231","325A","325",4945630,513814,4945630,513814
"232","513B","513",4962800,469050,4962800,469050
"233","227C","227",5223550,555464,5223550,555464
"234","239B","239",4978010,561022,4978010,561022
"235","070D","070",4969500,653035,4969500,653035
"236","521C","521",4934489,526888,4934489,526888
"237","252F","252",4970429,354274,4970429,354274
"238","154C","154",5023630,535594,5023630,535594
"239","129E","129",4998497,645937,4998497,645937
"240","279C","279",5158433,487782,5158433,487782
"241","064A","064",4970300,646093,4970300,646093
"242","416B","416",4931487,438526,4931487,438526
"243","595A","595",5145408,523187,5145408,523187
"244","616A","616",5232661,554967,5232661,554967
"245","155D","155",4869120,465911,4869120,465911
"246","674A","674",5241873,562198,5241873,562198
"247","262C","262",4924264,445217,4924264,445217
"248","427A","427",4940940,637618,4940940,637618
"249","471C","471",4877468,516376,4877468,516376
"250","151A","151",5034385,546374,5034385,546374
"251","346B","346",4919475,551498,4919475,551498
"252","169E","169",4917643,540904,4917643,540904
"253","593A","593",5004446,601602,5004446,601602
"254","164C","164",4953457,627026,4953457,627026
"255","585A","585",5178176,479229,5178176,479229
"256","402A","402",4883520,539131,4883520,539131
"257","641A","641",4951027,478663,4951027,478663
"258","610A","610",4921943,497349,4921943,497349
"259","728A","728",4976622,478589,4976622,478589
"260","475C","475",4935349,587455,4935349,587455
"261","069E","069",4978183,648337,4978183,648337
"262","242B","242",4932978,592470,4932978,592470
"263","336A","336",4915841,485676,4915841,485676
