"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","active_2013","active_2014","active_2015","active_2016"
"587A",5870001,"historic",423824,4910409,NA,NA,NA,NA
"410A",4100001,"historic",427807,4905582,NA,NA,NA,NA
"410B",4100002,"intact",428927,4908583,NA,NA,NA,NA
"410C",4100003,"intact",429429,4909193,NA,NA,NA,NA
"443A",4430001,"historic",442055,4914746,NA,NA,NA,NA
"443B",4430002,"historic",442058,4914703,NA,NA,NA,NA
"383A",3830001,"intact",451996,4913290,NA,NA,NA,NA
"538A",5380001,"historic",444487,4921330,NA,NA,NA,NA
"537A",5370001,"intact",408275,4914862,NA,NA,NA,NA
"308A",3080001,"intact",449056,4918060,NA,NA,NA,NA
"341A",3410001,"historic",417945,4928430,NA,NA,NA,NA
"341B",3410002,"historic",417344,4926356,NA,NA,NA,NA
"244B",2440002,"intact",434628,4923486,NA,NA,NA,NA
"244C",2440003,"intact",436278,4924729,NA,NA,NA,NA
"262A",2620001,"historic",445339,4924220,NA,NA,NA,NA
"262B",2620002,"historic",445136,4924314,NA,NA,NA,NA
"244A",2440001,"historic",435151,4922940,NA,NA,NA,NA
"591A",5910001,"intact",441440,4931151,NA,NA,NA,NA
"416B",4160002,"intact",438527,4931488,NA,NA,NA,NA
"416A",4160001,"intact",438398,4931007,NA,NA,NA,NA
"001A",10001,"historic",433553,4930140,NA,NA,NA,NA
"539A",5390001,"intact",434723,4936300,NA,NA,NA,NA
"287C",2870003,"historic",432227,4940971,NA,NA,NA,NA
"287B",2870002,"intact",432686,4940307,NA,NA,NA,NA
"287A",2870001,"historic",432605,4940670,NA,NA,NA,NA
"559A",5590001,"intact",437773,4952093,NA,NA,NA,NA
"491A",4910001,"historic",449164,4931167,NA,NA,NA,NA
"491B",4910002,"historic",449079,4931128,NA,NA,NA,NA
"512A",5120001,"historic",453284,4933002,NA,NA,NA,NA
"555B",5550002,"historic",449145,4933538,NA,NA,NA,NA
"555A",5550001,"historic",451404,4935000,NA,NA,NA,NA
"251B",2510002,"historic",455439,4935040,NA,NA,NA,NA
"251A",2510001,"intact",455516,4935138,NA,NA,NA,NA
"251C",2510003,"historic",455996,4934985,NA,NA,NA,NA
"251D",2510004,"intact",455926,4934950,NA,NA,NA,NA
"278C",2780003,"intact",453282,4939183,NA,NA,NA,NA
"278A",2780001,"historic",453779,4940140,NA,NA,NA,NA
"278B",2780002,"intact",453722,4940161,NA,NA,NA,NA
"540A",5400001,"historic",461691,4941713,NA,NA,NA,NA
"291A",2910001,"intact",429562,4957600,NA,NA,NA,NA
"414A",4140001,"intact",445201,4957377,NA,NA,NA,NA
"414B",4140002,"intact",445216,4957465,NA,NA,NA,NA
"203A",2030001,"historic",470554,4954470,NA,NA,NA,NA
"203B",2030002,"intact",467165,4951370,NA,NA,NA,NA
"513A",5130001,"intact",469142,4962455,NA,NA,NA,NA
"513B",5130002,"intact",469051,4962800,NA,NA,NA,NA
"514A",5140001,"intact",431133,4965998,NA,NA,NA,NA
"270D",2700004,"historic",474790,4943047,NA,NA,NA,NA
"270C",2700003,"historic",474825,4943002,NA,NA,NA,NA
"270E",2700005,"intact",474164,4942957,NA,NA,NA,NA
"270F",2700006,"intact",474396,4942318,NA,NA,NA,NA
"423A",4230001,"intact",475038,4928344,NA,NA,NA,NA
"433A",4330001,"historic",416920,4979503,NA,NA,NA,NA
"433B",4330002,"intact",415787,4979208,NA,NA,NA,NA
"380A",3800001,"historic",432939,4983101,NA,NA,NA,NA
"380B",3800002,"intact",430816,4981666,NA,NA,NA,NA
"415A",4150001,"historic",431292,4978064,NA,NA,NA,NA
"112A",1120001,"historic",429345,4983810,NA,NA,NA,NA
"509A",5090001,"historic",429662,4989952,NA,NA,NA,NA
"509B",5090002,"historic",429749,4990143,NA,NA,NA,NA
"231A",2310001,"historic",459145,4974842,NA,NA,NA,NA
"231B",2310002,"historic",459371,4974280,NA,NA,NA,NA
"231C",2310003,"intact",457895,4974569,NA,NA,NA,NA
"275C",2750003,"historic",474512,4980930,NA,NA,NA,NA
"275A",2750001,"historic",477174,4983767,NA,NA,NA,NA
"275B",2750002,"historic",477309,4983823,NA,NA,NA,NA
"275D",2750004,"intact",478471,4984100,NA,NA,NA,NA
"281A",2810001,"intact",391353,5011110,NA,NA,NA,NA
"483B",4830002,"historic",387367,5004060,NA,NA,NA,NA
"156A",1560001,"historic",391519,5008350,NA,NA,NA,NA
"156E",1560005,"intact",389263,5008018,NA,NA,NA,NA
"156D",1560004,"historic",389574,5007435,NA,NA,NA,NA
"156B",1560002,"historic",389339,5006624,NA,NA,NA,NA
"302A",3020001,"intact",396894,5004160,NA,NA,NA,NA
"301A",3010001,"historic",422378,5004675,NA,NA,NA,NA
"301B",3010002,"historic",422477,5003879,NA,NA,NA,NA
"377A",3770001,"intact",421975,5008617,NA,NA,NA,NA
"482A",4820001,"intact",398700,5027202,NA,NA,NA,NA
"309A",3090001,"historic",401404,5045800,NA,NA,NA,NA
"309B",3090002,"intact",401476,5045840,NA,NA,NA,NA
"560A",5600001,"intact",389947,5048538,NA,NA,NA,NA
"444A",4440001,"intact",398900,5052519,NA,NA,NA,NA
"436A",4360001,"intact",408952,5054623,NA,NA,NA,NA
"320A",3200001,"historic",420781,5077311,NA,NA,NA,NA
"515A",5150001,"intact",404287,5089078,NA,NA,NA,NA
"543A",5430001,"intact",469856,4999095,NA,NA,NA,NA
"355A",3550001,"historic",474812,5016030,NA,NA,NA,NA
"355B",3550002,"intact",473944,5015454,NA,NA,NA,NA
"184B",1840002,"intact",527934,4995230,NA,NA,NA,NA
"184A",1840001,"historic",527873,4995100,NA,NA,NA,NA
"460A",4600001,"intact",529565,4998727,NA,NA,NA,NA
"095B",950002,"intact",528965,5001396,NA,NA,NA,NA
"095C",950003,"historic",529100,5001663,NA,NA,NA,NA
"584A",5840001,"intact",529710,5002810,NA,NA,NA,NA
"304B",3040002,"historic",529250,5005334,NA,NA,NA,NA
"304C",3040003,"historic",529635,5004894,NA,NA,NA,NA
"304A",3040001,"historic",529604,5004450,NA,NA,NA,NA
"304D",3040004,"intact",529629,5004358,NA,NA,NA,NA
"213A",2130001,"intact",528843,5009476,NA,NA,NA,NA
"096A",960001,"historic",527575,5015043,NA,NA,NA,NA
"096B",960002,"historic",528268,5015181,NA,NA,NA,NA
"096C",960003,"intact",528378,5014486,NA,NA,NA,NA
"331A",3310001,"intact",534955,5013041,NA,NA,NA,NA
"338A",3380001,"historic",530111,5018150,NA,NA,NA,NA
"338C",3380003,"intact",530763,5018781,NA,NA,NA,NA
"338B",3380002,"historic",530728,5018757,NA,NA,NA,NA
"619A",6190001,"intact",542920,5022431,NA,NA,NA,NA
"629A",6290001,"intact",542758,5011724,NA,NA,NA,NA
"468A",4680001,"intact",545999,5018118,NA,NA,NA,NA
"666A",6660001,"historic",534366,5022688,NA,NA,NA,NA
"154C",1540003,"intact",535594,5023630,NA,NA,NA,NA
"154B",1540002,"historic",536123,5024363,NA,NA,NA,NA
"666B",6660002,"intact",534778,5022884,NA,NA,NA,NA
"149C",1490003,"intact",537769,5025885,NA,NA,NA,NA
"149A",1490001,"historic",538375,5026160,NA,NA,NA,NA
"386A",3860001,"historic",538954,5026544,NA,NA,NA,NA
"386B",3860002,"intact",538810,5027179,NA,NA,NA,NA
"323A",3230001,"intact",540330,5029540,NA,NA,NA,NA
"448A",4480001,"intact",543272,5031697,NA,NA,NA,NA
"627A",6270001,"intact",545124,5033174,NA,NA,NA,NA
"151B",1510002,"historic",546055,5035066,NA,NA,NA,NA
"151A",1510001,"intact",546375,5034386,NA,NA,NA,NA
"208A",2080001,"historic",549464,5041031,NA,NA,NA,NA
"269A",2690001,"historic",548895,5042920,NA,NA,NA,NA
"269B",2690002,"intact",549041,5042790,NA,NA,NA,NA
"269C",2690003,"intact",548378,5043091,NA,NA,NA,NA
"190A",1900001,"historic",546806,5045232,NA,NA,NA,NA
"190B",1900002,"historic",546439,5044938,NA,NA,NA,NA
"190C",1900003,"historic",546920,5044928,NA,NA,NA,NA
"190D",1900004,"historic",546995,5045029,NA,NA,NA,NA
"190E",1900005,"intact",546908,5044988,NA,NA,NA,NA
"628A",6280001,"intact",539025,5048771,NA,NA,NA,NA
"097A",970001,"historic",541959,5048912,NA,NA,NA,NA
"387B",3870002,"historic",542699,5048046,NA,NA,NA,NA
