"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","092H","092","Yes",2014,2014,2014,2012,"","","interior","Piscataquis","ME","E","","dominant","",456469.614914,5066150.20463,-69.5596338316216,45.7475386737265
"","","094A","094","Yes",2014,2014,2014,1962,"","","coastal","Waldo","ME","B","5/26/1977","supercanopy","",512076,4938630,-68.8478336203277,44.600915626613
"","","095B","095","Yes",2013,2013,2013,1983,"","","interior","Penobscot","ME","F","","","",528965.262616,5001395.85427,-68.6314295977219,45.1654474979713
"","","096C","096","Yes",2013,2013,2013,2004,"","","interior","Penobscot","ME","F","","","",528378.460802,5014486.43278,-68.6381494795162,45.2833047848264
"","","097D","097","Yes",2013,2013,2013,2002,"","","interior","Penobscot","ME","F","","","",542561.897176,5048874.44446,-68.4543296799149,45.5921092459671
"","","098D","098","Yes",2013,2013,2013,1997,"","","interior","Penobscot","ME","F","","","",528309.029148,5056104.17993,-68.6366356236467,45.6579090154111
"","","099C","099","Yes",2013,2013,2013,2013,"Haskell Island","","coastal","Cumberland","ME","A","","dominant","",417255.0159,4841201.2732,-70.0272317152628,43.7192254863839
"","","101C","101","Yes",2013,2013,2013,1997,"Liza Dunn Point shoreline","","coastal","Washington","ME","C","","","",643409.181832,4974661.62422,-67.1832536381187,44.9109320691544
"","","102B","102","Yes",2014,2014,2014,2002,"Courthouse Point vicinity","","coastal","Lincoln","ME","B","","","",438436.072142,4883674.64528,-69.76921775249,44.1036671254396
"","","106D","106","Yes",2013,2013,2013,1996,"Clemment Point vicinity","","coastal","Knox","ME","B","","","",480669.002391,4884255.34478,-69.2415644408871,44.1112295281267
"","","107G","107","Yes",2013,2013,2013,2013,"Crane Island islet","","coastal","Knox","ME","B","","dominant","",508351.7593,4877424.9992,-68.8957422333892,44.0499411274519
"","","108E","108","Yes",2013,2013,2013,1996,"Penobscot Island","","coastal","Knox","ME","B","","","",515279,4882130,-68.8091314786782,44.0921902532129
"","","109A","109","Yes",2013,2013,2013,1962,"Stimpsons Island","","coastal","Knox","ME","B","","","",514370,4887000,-68.8203540647351,44.1360546567348
"","","111F","111","Yes",2013,2013,2013,2001,"Marsh Island bar vicinity","","coastal","Washington","ME","C","","","",618991,4938190,-67.500981779669,44.5872175954497
"","","116F","116","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","dominant","",516019.0573,5186758.7032,-68.7899428107908,46.8341789423832
"","","117C","117","Yes",2013,2013,2013,2001,"","This nest is on the New Brunswick side of the Saint Croix River border with Maine.","interior","Charlotte","NB","","","","",620165.360149,5012332.79411,-67.4685661398128,45.2542237823286
"","","118B","118","Yes",2013,2013,2013,1997,"","","interior","Washington","ME","C","","","",635997,4970390,-67.2782571150673,44.8739508219594
"","","119G","119","Yes",2013,2013,2013,2011,"Mink Island","","coastal","Washington","ME","C","","dominant","",614058.530353,4927117.14978,-67.5655491318034,44.4883624261216
"","","121C","121","Yes",2013,2013,2013,1995,"Mink Island","","coastal","Washington","ME","C","","","",636171,4942090,-67.2836098127961,44.6192667111892
"","","123B","123","Yes",2013,2013,2013,2007,"","","coastal","Washington","ME","C","","","",644834.667,4979094.717,-67.1639336345004,44.9505297807874
"","","124A","124","Yes",2013,2013,2013,1981,"","","interior","Washington","ME","C","","","",602457,4989290,-67.6989122755149,45.0496564975129
"","","125G","125","Yes",2013,2013,2013,2013,"Outer Ram Island","","coastal","Washington","ME","C","","dominant","split leader at top",608688.5255,4926982.6412,-67.63309338304,44.4879799621262
"","","126D","126","Yes",2013,2013,2013,2013,"Second Lake island","","interior","Washington","ME","C","","dominant","",630757.1974,4964938.2112,-67.3459706452431,44.8258741124031
"","","127E","127","Yes",2013,2013,2013,2005,"","","coastal","Washington","ME","C","","","Nest tree leader is dead above nest level.",599835.266,4934700.003,-67.7429143248791,44.5587183101321
"","","128C","128","Yes",2013,2013,2013,2007,"Hope Island","","coastal","Washington","ME","C","","","",623870,4942550,-67.4384886047196,44.6256309890955
"","","129E","129","Yes",2013,2013,2013,2013,"","","coastal","Washington","ME","C","","dominant","",645937.4861,4998497.5805,-67.1443247071791,45.1248747393619
"","","130D","130","Yes",2013,2013,2013,2013,"","","interior","Washington","ME","C","","dominant","",614701.715,5000907.3734,-67.5408049221099,45.1523224519947
"","","132B","132","Yes",2013,2013,2013,1997,"Bald Mountain","","interior","Washington","ME","C","","","",634888,4994000,-67.2859711562035,45.0866029211863
"","","133B","133","Yes",2013,2013,2013,2001,"","","coastal","Washington","ME","C","","","",649308.097163,4978612.11776,-67.1073972776761,44.9452621820964
"","","137D","137","Yes",2013,2013,2013,2009,"Five Islands","","interior","Aroostook","ME","F","","","",593599.855127,5065825.16675,-67.7968326069335,45.7396482107245
"","","138H","138","Yes",2013,2013,2013,2008,"Great Duck Island","","coastal","Hancock","ME","C","","","",560246.285986,4889611.64621,-68.2465650598289,44.1572247747114
"","","139E","139","Yes",2013,2013,2013,2013,"","","interior","Piscataquis","ME","G","","supercanopy","",492092.8567,5154308.0085,-69.1031289813146,46.5422930792692
"","","140D","140","Yes",2013,2013,2013,2006,"","","interior","Washington","ME","C","","","",617132.300518,5012320.9495,-67.507210075556,45.2546288972916
"","","141C","141","Yes",2013,2013,2013,2002,"","","interior","Penobscot","ME","F","","","",518842,5053050,-68.7582678523841,45.6307407334128
"","","142D","142","Yes",2013,2013,2013,2007,"","","interior","Washington","ME","C","","","",579628.165249,4958910.94317,-67.9935456018245,44.779159505731
"","","143C","143","Yes",2013,2013,2013,2013,"Norway Island","","interior","Aroostook","ME","F","","dominant","",564592.0117,5090779.8439,-68.166312433651,45.9675490626235
"","","144D","144","Yes",2013,2013,2013,2008,"Sheep Island","","coastal","Washington","ME","C","","","",586258.083,4923732.935,-67.9156718519216,44.461756436708
"","","145D","145","Yes",2013,2013,2013,2001,"Williams Point","","coastal","Hancock","ME","C","","","",578807.758079,4924366.7334,-68.0092168761208,44.4683122064651
"","","146C","146","Yes",2013,2013,2013,1987,"Long Pond upland","","coastal","Knox","ME","C","","","",531156,4877540,-68.6110667154355,44.0503621206967
"","","148D","148","Yes",2013,2013,2013,2008,"East Sheep Island","","coastal","Washington","ME","C","","","",609022.338,4929710.266,-67.6283208673517,44.5124786398509
"","","149D","149","Yes",2014,2014,2014,2010,"Mattanawcook Island","","interior","Penobscot","ME","F","","dominant","",538333.954079,5025567.28576,-68.5103534254354,45.3825716386092
"","","151A","151","Yes",2013,2013,2013,1986,"","","interior","Penobscot","ME","F","","","",546374.838617,5034385.90836,-68.4068201483179,45.4614596414455
"","","152F","152","Yes",2013,2013,2013,2003,"Ringtown Island","","coastal","Hancock","ME","C","","","",540642.441339,4885655.63889,-68.4920226797692,44.1229628936657
"","","153E","153","Yes",2013,2013,2013,2006,"Sheep Island","","coastal","Washington","ME","C","","","",613683.671267,4930224.41297,-67.569578286922,44.5163866062521
"","","154C","154","Yes",2014,2014,2014,1995,"","","interior","Penobscot","ME","F","","","",535594,5023630,-68.5454899120234,45.3652786960168
"","","155D","155","Yes",2013,2013,2013,1992,"Hog Island","","coastal","Lincoln","ME","B","","","",465911,4869120,-69.4250044586624,43.974424324702
"","","156G","156","Yes",2014,2014,2014,2013,"","","interior","Somerset","ME","D","","dominant","",389305.6433,5008057.2326,-70.409818135508,45.2173032798839
