PK_NestSite,IntactDuringLastYearObs.,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,County,IFWRegion,Species,TreeCondition,NestTreeStandProminence,NestTreeComments,nest_id,Accuracy,Type,UseID,UTM_long,UTM_lat
013G,Yes,13,Tyler Islands,2013,2013,2013,2007,,coastal,Lincoln,B,eastern white pine,alive - top intact,dominant,,013G,10,A,ER,441020,4859284
014A,No,14,Damariscotta Mills vicinity,2014,1978,1974,1972,,interior,Lincoln,B,eastern white pine,alive - top intact,dominant,,014A,12,A,IO,457419,4878920
014B,No,14,Damariscotta Mills vicinity,2014,2007,2007,1974,,interior,Lincoln,B,eastern white pine,alive - top intact,supercanopy,,014B,12,A,IO,457133,4878832
014C,No,14,Damariscotta Mills vicinity,2014,1981,1979,1977,,interior,Lincoln,B,eastern white pine,alive - top intact,supercanopy,,014C,12,A,IO,457350,4878860
014D,No,14,Damariscotta Mills vicinity,2014,2005,2005,1992,,interior,Lincoln,B,eastern white pine,alive - top intact,,,014D,12.5,A,IO,457466,4878947
014E,Yes,14,Damariscotta Mills vicinity,2014,2014,2013,2008,,interior,Lincoln,B,eastern white pine,alive - top intact,,,014E,12,A,ER,457451,4878902
015A,No,15,Folly Pond vicinity,2013,1983,1966,1966,,coastal,Knox,B,eastern white pine,dead - top broken,dominant,,015A,12,A,IO,511626,4880321
016A,No,16,Mark Island,2013,1984,1983,1977,,coastal,Knox,B,yellow birch,alive - top intact,dominant,,016A,12,A,IO,501482,4891045
016B,No,16,Mark Island,2013,2000,1991,1982,,coastal,Knox,B,red spruce,alive - top broken,dominant,,016B,12,A,IO,501291,4891010
016C,No,16,Mark Island,2013,2002,1999,1992,,coastal,Knox,B,yellow birch,alive - top intact,dominant,,016C,12,A,IO,501481,4891140
016D,No,16,Mark Island,2013,2004,2003,2000,,coastal,Knox,B,yellow birch,alive - top intact,dominant,,016D,12,A,IO,501440,4891072
016E,No,16,Mark Island,2013,2006,2006,2004,,coastal,Knox,B,red spruce,dead - top broken,dominant,,016E,12.5,A,IO,501348,4891009
016F,No,16,Mark Island,2013,2008,2007,2007,,coastal,Knox,B,yellow birch,alive - top intact,dominant,,016F,4,A,IO,501361,4891003
016G,Yes,16,Mark Island,2013,2013,2013,2007,,coastal,Knox,B,yellow birch,alive - top intact,dominant,,016G,10,A,ER,501534,4891356
017A,No,17,Burnt Island,2013,1989,1989,1970,,coastal,Knox,B,northern red oak,alive - top intact,dominant,"Bole divides into 4 leaders at ground level:  other stems are 58.9 cm, 54.9 cm, and 58.9 cm DBH.",017A,12,A,IO,514740,4892730
017B,No,17,Burnt Island,2013,1959,1959,1962,,coastal,Knox,B,red spruce,,,,017B,12,A,IO,514737,4892800
017C,No,17,Sheep Island,2013,1995,1996,1990,,coastal,Knox,B,red spruce,,,,017C,12,A,IO,516539,4891970
