FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3275,Point_4171,8.5,Animal Location,4042,4042,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],207E,548736.783,5207359.863
,3276,Point_2109,12,Animal Location,2109,2109,6831,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],447A,544920.3714,5212786.604
,3277,Point_2083,12,Animal Location,2083,2083,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],226A,550378.6696,5213670.235
,3278,Point_4172,12,Animal Location,4043,4043,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],226C,550288.5043,5213382.94
,3279,Point_4173,10,Animal Location,4044,4044,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],615A,550432.3256,5217642.297
,3280,Point_2110,12,Animal Location,2110,2110,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],227A,554484.5788,5222066.423
,3281,Point_2293,12,Animal Location,2293,2293,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],227B,555536,5223410
,3282,Point_4174,12,Animal Location,4045,4045,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],227C,555464,5223550
,3283,Point_2189,12,Animal Location,2189,2189,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],247A,561285.3006,5224981.604
,3284,Point_4175,8.5,Animal Location,4046,4046,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],616A,554967.4994,5232661.794
,3285,Point_4176,10,Animal Location,4047,4047,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],536A,578066.033,5227985.075
,3286,Point_1870,12,Animal Location,1870,1870,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],116A,516255,5183890
,3287,Point_2034,12,Animal Location,2034,2034,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],116B,515907.5665,5186907.775
,3288,Point_4177,12,Animal Location,4049,4049,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],116C,515802.5003,5186821.182
,3289,Point_4178,5,Animal Location,4048,4048,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],116D,515372,5186938
