"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"85","101C","101",4974661,643409,"Yes",1997,"2013",2013,2013,"Liza Dunn Point shoreline","","coastal","Washington"
"86","102B","102",4883674,438436,"Yes",2002,"2014",2014,2014,"Courthouse Point vicinity","","coastal","Lincoln"
"87","106D","106",4884255,480669,"Yes",1996,"2013",2013,2013,"Clemment Point vicinity","","coastal","Knox"
"88","107G","107",4877424,508351,"Yes",2013,"2013",2013,2013,"Crane Island islet","","coastal","Knox"
"89","108E","108",4882130,515279,"Yes",1996,"2013",2013,2013,"Penobscot Island","","coastal","Knox"
"90","109A","109",4887000,514370,"Yes",1962,"2013",2013,2013,"Stimpsons Island","","coastal","Knox"
"91","111G","111",4938178,619471,"Yes",2010,"2013",2013,2011,"Marsh Island","","coastal","Washington"
"92","114A","114",5112827,519001,"Yes",1969,"2013",2013,0,"Hay Pond islet","Nest was used only by ospreys during the period 1980 - 2013.","interior","Penobscot"
"93","116F","116",5186758,516019,"Yes",2013,"2013",2013,2013,"","","interior","Aroostook"
"94","118B","118",4970390,635997,"Yes",1997,"2013",2013,2013,"","","interior","Washington"
"95","119G","119",4927117,614058,"Yes",2011,"2013",2013,2013,"Mink Island","","coastal","Washington"
"96","121C","121",4942090,636171,"Yes",1995,"2013",2013,2013,"Mink Island","","coastal","Washington"
"97","123B","123",4979094,644834,"Yes",2007,"2013",2013,2013,"","","coastal","Washington"
"98","124A","124",4989290,602457,"Yes",1981,"2013",2013,2013,"","","interior","Washington"
"99","125G","125",4926982,608688,"Yes",2013,"2013",2013,2013,"Outer Ram Island","","coastal","Washington"
"100","126D","126",4964938,630757,"Yes",2013,"2013",2013,2013,"Second Lake island","","interior","Washington"
"101","127E","127",4934700,599835,"Yes",2005,"2013",2013,2013,"","","coastal","Washington"
"102","128C","128",4942550,623870,"Yes",2007,"2013",2013,2013,"Hope Island","","coastal","Washington"
"103","129E","129",4998497,645937,"Yes",2013,"2013",2013,2013,"","","coastal","Washington"
"104","130D","130",5000907,614701,"Yes",2013,"2013",2013,2013,"","","interior","Washington"
"105","132B","132",4994000,634888,"Yes",1997,"2013",2013,2013,"Bald Mountain","","interior","Washington"
"106","133B","133",4978612,649308,"Yes",2001,"2013",2013,2013,"","","coastal","Washington"
"107","137D","137",5065825,593599,"Yes",2009,"2013",2013,2013,"Five Islands","","interior","Aroostook"
"108","138H","138",4889611,560246,"Yes",2008,"2013",2013,2013,"Great Duck Island","","coastal","Hancock"
"109","139E","139",5154308,492092,"Yes",2013,"2013",2013,2013,"","","interior","Piscataquis"
"110","140D","140",5012320,617132,"Yes",2006,"2013",2013,2013,"","","interior","Washington"
"111","141C","141",5053050,518842,"Yes",2002,"2013",2013,2013,"","","interior","Penobscot"
"112","142D","142",4958910,579628,"Yes",2007,"2013",2013,2013,"","","interior","Washington"
"113","143C","143",5090779,564592,"Yes",2013,"2013",2013,2013,"Norway Island","","interior","Aroostook"
"114","144D","144",4923732,586258,"Yes",2008,"2013",2013,2013,"Sheep Island","","coastal","Washington"
"115","145D","145",4924366,578807,"Yes",2001,"2013",2013,2013,"Williams Point","","coastal","Hancock"
"116","146C","146",4877540,531156,"Yes",1987,"2013",2013,2013,"Long Pond upland","","coastal","Knox"
"117","148D","148",4929710,609022,"Yes",2008,"2013",2013,2013,"East Sheep Island","","coastal","Washington"
"118","149D","149",5025567,538333,"Yes",2010,"2013",2013,2013,"Mattanawcook Island","","interior","Penobscot"
"119","151A","151",5034385,546374,"Yes",1986,"2013",2013,2013,"","","interior","Penobscot"
"120","152F","152",4885655,540642,"Yes",2003,"2013",2013,2013,"Ringtown Island","","coastal","Hancock"
"121","153E","153",4930224,613683,"Yes",2006,"2013",2013,2013,"Sheep Island","","coastal","Washington"
"122","154C","154",5023630,535594,"Yes",1995,"2013",2013,2013,"","","interior","Penobscot"
"123","155D","155",4869120,465911,"Yes",1992,"2013",2013,2013,"Hog Island","","coastal","Lincoln"
"124","156G","156",5008057,389305,"Yes",2013,"2013",2013,2013,"","","interior","Somerset"
"125","157B","157",4899190,520768,"Yes",1989,"2013",2013,2013,"Crow Island","","coastal","Hancock"
"126","159A","159",4967830,482786,"Yes",1988,"2013",2013,2013,"","","interior","Penobscot"
"127","161C","161",4985612,646209,"Yes",2013,"2013",2013,2013,"Boyden Lake mid-southern shoreline","","interior","Washington"
"128","163C","163",5120210,451029,"Yes",1990,"2013",2013,2013,"","","interior","Piscataquis"
"129","164C","164",4953457,627026,"Yes",2001,"2013",2013,2013,"The Rim vicinity","","coastal","Washington"
"130","165E","165",4971570,658654,"Yes",2013,"2013",2013,2013,"Treat Island","","coastal","Washington"
"131","166B","166",4930891,519231,"Yes",1994,"2013",2013,2013,"","","coastal","Hancock"
"132","167D","167",4928585,598905,"Yes",2007,"2013",2013,2013,"Eagle Island","","coastal","Washington"
"133","168D","168",4853954,435831,"Yes",2005,"2013",2013,2013,"Ram Island","","coastal","Sagadahoc"
"134","169E","169",4917643,540904,"Yes",2003,"2013",2013,2013,"Jed Island","","coastal","Hancock"
"135","171G","171",4973244,642810,"Yes",2013,"2013",2013,2013,"","","coastal","Washington"
"136","172B","172",5003824,542702,"Yes",2013,"2013",2013,2013,"","","interior","Penobscot"
"137","173D","173",5142129,476993,"Yes",2004,"2013",2013,2013,"","","interior","Piscataquis"
"138","174C","174",5025358,524522,"Yes",2013,"2013",2013,2013,"Birch Island","","interior","Penobscot"
"139","175B","175",5036820,507584,"Yes",1999,"2013",2013,2013,"Sand Island","","interior","Piscataquis"
"140","176C","176",5036568,525087,"Yes",2013,"2013",2013,2013,"","","interior","Penobscot"
"141","177B","177",5044860,438930,"Yes",1994,"2013",2013,2013,"","","interior","Somerset"
"142","178D","178",4868965,429428,"Yes",2003,"2014",2014,2014,"Pleasant Point","","coastal","Sagadahoc"
"143","179F","179",4884111,526718,"Yes",2006,"2013",2013,2013,"Hardwood Island","","coastal","Knox"
"144","180D","180",4940008,625982,"Yes",2013,"2013",2013,2013,"","","coastal","Washington"
"145","181F","181",5119668,458620,"Yes",2013,"2013",2013,2013,"","","interior","Piscataquis"
"146","182A","182",5086020,431739,"Yes",1989,"2013",2013,2013,"","","interior","Somerset"
"147","183B","183",4937073,615862,"Yes",2006,"2013",2013,2013,"Parker Head","","coastal","Washington"
"148","184B","184",4995230,527934,"Yes",1995,"2013",2013,2013,"","","interior","Penobscot"
"149","185C","185",5053651,429112,"Yes",2007,"2013",2013,2013,"","","interior","Somerset"
"150","186B","186",5104341,470419,"Yes",1999,"2013",2013,2013,"Gero Island","","interior","Piscataquis"
"151","189F","189",5020312,583250,"Yes",2011,"2013",2013,2013,"","","interior","Washington"
"152","190F","190",5044968,547760,"Yes",2010,"2013",2013,2013,"","","interior","Penobscot"
"153","191D","191",4868541,493439,"Yes",2010,"2013",2013,2013,"Crow Island","","coastal","Knox"
"154","192C","192",4886984,439446,"Yes",2011,"2014",2014,2014,"","","coastal","Lincoln"
"155","193E","193",4901474,513234,"Yes",2010,"2013",2013,2013,"West Barred Island","","coastal","Hancock"
"156","194B","194",4970280,659272,"Yes",1992,"2013",2013,2013,"Pope Folly Island","","coastal","Washington"
"157","195B","195",4929880,606479,"Yes",1997,"2013",2013,2013,"Hardwood Island","","coastal","Washington"
"158","196B","196",4926294,605142,"Yes",2005,"2013",2013,2013,"Toms Island","","coastal","Washington"
"159","197H","197",4933224,558465,"Yes",2003,"2013",2013,2013,"Burying Island","","coastal","Hancock"
