PK_NestSite,UTM_Long,UTM_Lat
106D,480669.0024,4884255.345
106E,480489.738,4884579.337
107A,507619,4877830
107B,508324,4877950
107C,508341,4877440
107D,507650.436,4877844.813
107E,508306.079,4877892.949
107F,508304.2191,4877656.287
107G,NA,NA
108A,513964,4883210
108B,514054,4883400
108C,516323,4883050
108D,516461,4882710
108E,515279,4882130
109A,514370,4887000
109B,514516,4887150
110A,589509,4926860
111A,620016.0918,4939680.918
111B,619901.858,4939885.716
111C,619984.7039,4939760.678
111D,618229,4938830
111E,618389,4938750
111F,618991,4938190
111G,619471.6358,4938178.435
112A,429344.9011,4983810.198
113A,486547.5304,5033210.895
113B,485485.8658,5034280.52
114A,519001.8044,5112827.675
115A,528926,5123440
115B,528062,5122650
116A,516255,5183890
116B,515907.5665,5186907.775
116C,515802.5003,5186821.182
116D,515372,5186938
116E,515294.6819,5187774.637
116F,NA,NA
117A,619602.1656,5012479.672
117B,622125.4694,5008639.782
117C,620165.3601,5012332.794
118A,636053,4970370
118B,635997,4970390
119A,614065,4927100
119B,614001,4927140
119C,612416,4926650
119D,612813,4926740
119E,614026,4927100
119F,613976.1112,4927138.042
119G,614058.5304,4927117.15
120A,491784,5079800
121C,636171,4942090
122A,569468.8993,4918599.468
122B,569523.4291,4917513.554
122C,569136.6356,4918752.206
123A,644649,4977880
123B,644834.667,4979094.717
124A,602457,4989290
124B,602293,4988120
124C,601647,4989910
125A,608677.9635,4927005.111
125B,608545.7638,4927146.037
125C,608727.4514,4927189.318
125D,608816.7675,4927184.736
125E,608781,4927210
125F,608638.985,4926978.099
125G,NA,NA
126A,629019.9019,4965028.489
126B,630584,4965110
126C,630192,4965460
126D,NA,NA
127B,600340.8702,4934448.863
127D,599764.7436,4934239.547
127E,599835.266,4934700.003
128A,625103,4942730
128B,623796.832,4942598.932
128C,623870,4942550
129B,644915.0183,5000619.224
129C,646836.2423,4998888.121
129D,645456.9177,4999054.466
129E,NA,NA
130A,613894,5002270
130B,615772.6197,5002806.4
130C,614052.577,5001143.013
130D,NA,NA
131A,623556.9228,4948582.599
131B,623526.4015,4948431.479
132A,634891,4994100
132B,634888,4994000
133B,649308.0972,4978612.118
134A,476643.6453,5076211.36
134B,476577.9032,5075998.385
135A,575401.9549,5006909.835
136A,654894.9096,4971388.46
136B,654708,4970730
137A,593601,5065800
137B,595371.8806,5066984.511
137C,593590.7152,5065850.106
137D,593599.8551,5065825.167
138A,560417,4891410
138B,560047,4888920
138C,560224.4849,4889587.737
138D,560314.2984,4889636.285
138E,560113,4889100
138F,560064,4889010
138G,559990,4888970
138H,560246.286,4889611.646
139A,491687.7141,5154972.008
139B,490656.0758,5155249.888
139C,491321.1935,5155518.25
139D,491821,5155387
139E,NA,NA
140A,617252,5012390
140B,617275,5012290
140C,617292,5012350
140D,617132.3005,5012320.95
141A,518546,5053150
141B,518774.7903,5052337.944
141C,518842,5053050
142A,580697.398,4959876.203
142B,578875,4959890
142C,580701.1813,4959536.352
142D,579628.1652,4958910.943
143A,564988.7534,5090422.531
143B,564739.4997,5090627.777
143C,NA,NA
144B,586324,4923650
144C,586280.308,4923680.151
144D,586258.083,4923732.935
145A,580563.3677,4926851.781
145B,579778,4924610
145C,579624,4924930
145D,578807.7581,4924366.733
146A,530939,4876870
146C,531156,4877540
146D,530901.5161,4876350.91
147A,530971,4886940
147B,531905.6831,4886530.798
147C,531001.3121,4886932.125
147D,530959.0017,4886952.463
148A,608854.2381,4928044.508
148B,608931,4928120
148C,608806.438,4928054.5
148D,609022.338,4929710.266
149A,538375.1004,5026160.209
149C,537768.6564,5025885.292
149D,538333.9541,5025567.286
