dates QC,Field1,Plot QA/QC,ObsID,SignProtection?,Landowner,PK_NestSite,IntactDuringLastYearObs?,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,EH,FK_Geocode,County,IFWRegion,State/Province,Species,DBH,DateSiteEvaluation,TreeCondition,NestTreeStandProminence,NestTreeComments,Former MDIFW nest #,EO Code - #,Former USFWS nest #,Former NAS nest #,Comments nest # change,Former USFWS nest #1,Former NAS nest #1,Comments nest # change1,Former USFWS nest #11,Former NAS nest #11,Comments nest # change11,Edits?
TRUE,,TRUE,1590,,,011D,No,11,Crawford Island,2013,1983,,1980,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,BE011D,23020,Sagadahoc,A,ME,eastern white pine,,,alive - top broken,dominant,,,ABNKC10010-038,,,,,,,,,,
TRUE,,TRUE,1565,,,011E,No,11,Thorne Island,2013,1990,1990,1990,,coastal,BE011E,23100,Sagadahoc,B,ME,eastern white pine,,,dead - top intact,dominant,,,ABNKC10010-006,,,,,,,,,,
TRUE,,TRUE,3873,,,011F,No,11,Thorne Island,2013,1995,1993,1992,,coastal,BE011F,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-465,,,,,,,,,,
TRUE,,TRUE,2100,,,011G,No,11,Thorne Island,2013,2007,2007,1994,,coastal,BE011G,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-541,,,,,,,,,,
TRUE,,TRUE,2312,,,011H,Yes,11,Little Lines Island,2013,2013,2008,2000,,coastal,BE011H,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-753,,,,,,,,,,
TRUE,,TRUE,2024,,,011I,Yes,11,Thorne Island,2013,2013,2013,2003,,coastal,BE011I,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,,,,,,,,,,,
TRUE,,FALSE,1598,,,012A,No,12,Middle Road shoreline,2013,1980,1976,1972,,coastal,BE012A,23100,Sagadahoc,B,ME,northern red oak,48.3,4/11/1980,alive - top intact,dominant,,,ABNKC10010-039,66A (1972 - 1973); 15 (1974 - 1976),,,,,,,,,
TRUE,,TRUE,1599,,,012B,No,12,Loon Lane vicinity shoreline,2013,1975,1968,1968,,coastal,BE012B,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-040,66 (1972 - 1973); 16 (1974 - 1976),SA-17 (< 1971),,,,,,,,
TRUE,,TRUE,1602,,,013C,No,13,Hockomock Point vicinity,2013,1998,1997,1978,,coastal,BE013C,23100,Sagadahoc,B,ME,eastern white pine,58.7,7/18/1978,alive - top intact,supercanopy,,,ABNKC10010-043,,,,,,,,,,
TRUE,,TRUE,1603,,,013D,No,13,Lower Hell Gate vicinity,2013,1964,1964,1962,,coastal,BE013D,23010,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-044,,SA-6 (< 1971),,,,,,,,
TRUE,,TRUE,1992,,,013E,No,13,Hockomock Point vicinity,2013,1991,1995,1990,,coastal,BE013E,23100,Sagadahoc,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-433,,,,,,,,,,
TRUE,,TRUE,3865,,,013F,No,13,Flying Point,2013,2009,2005,2002,,coastal,BE013F,23050,Sagadahoc,B,ME,eastern white pine,,,alive - top broken,supercanopy,,,,,,,,,,,,,
TRUE,,TRUE,3866,,,013G,Yes,13,Tyler Islands,2013,2013,2013,2007,,coastal,BE013G,15170,Lincoln,B,ME,eastern white pine,,,alive - top intact,dominant,,,,,,,,,,,,,
TRUE,,TRUE,1927,,,014A,No,14,Damariscotta Mills vicinity,2014,1978,1974,1972,,interior,BE014A,15110,Lincoln,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-368,88 (1972 - 1973); 19 (1974 - 1976),,,,,,,,,
TRUE,,TRUE,1928,,,014B,No,14,Damariscotta Mills vicinity,2014,2007,2007,1974,,interior,BE014B,15110,Lincoln,B,ME,eastern white pine,,,alive - top intact,supercanopy,,,ABNKC10010-369,19A (1974 - 1976),,,,,,,,,
TRUE,,TRUE,1929,,,014C,No,14,Damariscotta Mills vicinity,2014,1981,1979,1977,,interior,BE014C,15110,Lincoln,B,ME,eastern white pine,,,alive - top intact,supercanopy,,,ABNKC10010-370,,,,,,,,,,
TRUE,,TRUE,4752,,,014D,No,14,Damariscotta Mills vicinity,2014,2005,2005,1992,,interior,BE014D,15110,Lincoln,B,ME,eastern white pine,,,alive - top intact,,,,ABNKC10010-466,,,,,,,,,,
TRUE,,TRUE,2025,,,014E,Yes,14,Damariscotta Mills vicinity,2014,2014,2013,2008,,interior,BE014E,15110,Lincoln,B,ME,eastern white pine,,,alive - top intact,,,,,,,,,,,,,,
TRUE,,TRUE,1604,,,015A,No,15,Folly Pond vicinity,2013,1983,1966,1966,,coastal,BE015A,13160,Knox,B,ME,eastern white pine,,,dead - top broken,dominant,,,ABNKC10010-045,86 (1973); 20 (1974 - 1976),KN-6 (< 1971),,,,,,,,
TRUE,,TRUE,1930,,,016A,No,16,Mark Island,2013,1984,1983,1977,,coastal,BE016A,13080,Knox,B,ME,yellow birch,,,alive - top intact,dominant,,,ABNKC10010-371,,,,,,,,,,
