OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2782,Point_3865,10.00000000000,Animal Location,3866,3866,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],013G,441020.88715500000,4859284.62525000000
2783,Point_3866,4.00000000000,Animal Location,3867,3867,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],494A,436134.39404300000,4862417.61666000000
2784,Point_1600,12.00000000000,Animal Location,1600,1600,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],494B,436841.00000000000,4862070.00000000000
2785,Point_1601,12.00000000000,Animal Location,1601,1601,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],494C,436922.00000000000,4861960.00000000000
2786,Point_3867,10.00000000000,Animal Location,3868,3868,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],424A,442011.37807700000,4863527.99274000000
2787,Point_3868,10.00000000000,Animal Location,3869,3869,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],240B,446899.17900000000,4863163.44300000000
2788,Point_2123,12.00000000000,Animal Location,2123,2123,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],240A,447384.00000000000,4864690.00000000000
2789,Point_1603,12.00000000000,Animal Location,1603,1603,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],013D,437853.00000000000,4860460.00000000000
2790,Point_1992,12.00000000000,Animal Location,1992,1992,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],013E,439135.85115500000,4861060.58317000000
2791,Point_1602,12.00000000000,Animal Location,1602,1602,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],013C,439217.00000000000,4860990.00000000000
