nest_id,nest_id_num,status,nest_long_utm,nest_lat_utm
467A,4670001,intact,565079,4997624
468A,4680001,intact,545999,5018118
470B,4700002,intact,523451,4885862
471B,4710002,intact,516315,4877323
471C,4710003,intact,516377,4877468
472A,4720001,intact,495388,4873337
472B,4720002,intact,495257,4873311
473A,4730001,intact,510843,4895654
473B,4730002,intact,511908,4897878
474A,4740001,intact,470369,4877928
475C,4750003,intact,587456,4935350
476A,4760001,intact,582464,5051350
478B,4780002,intact,530841,4896848
478D,4780004,intact,530818,4896899
479C,4790003,intact,415064,4846272
480C,4800003,intact,509365,4887088
481A,4810001,intact,507019,4881573
482A,4820001,intact,398700,5027202
483C,4830003,intact,388331,5004670
484A,4840001,intact,460204,5127932
485A,4850001,intact,649260,4968791
485C,4850003,intact,649335,4968786
486B,4860002,intact,343540,4995783
487B,4870002,intact,516727,5124857
487C,4870003,intact,517024,5125764
488B,4880002,intact,348118,4824378
490B,4900002,intact,615043,4926341
491C,4910003,intact,448143,4930358
492A,4920001,intact,612736,5014637
493A,4930001,intact,643864,5002235
494A,4940001,intact,436134,4862418
495A,4950001,intact,611460,4992490
496A,4960001,intact,642100,4974944
498B,4980002,intact,536453,5050256
499A,4990001,intact,480969,4870534
499B,4990002,intact,480960,4870577
500B,5000002,intact,515102,4936887
500C,5000003,intact,514983,4936949
501C,5010003,intact,508760,4852144
502B,5020002,intact,586469,4923214
503A,5030001,intact,574969,4940513
504A,5040001,intact,531770,4873521
504C,5040003,intact,531748,4873493
505C,5050003,intact,549659,4887952
506A,5060001,intact,572626,4915386
507A,5070001,intact,639625,4972600
508B,5080002,intact,542047,4890982
510A,5100001,intact,403890,4879491
512B,5120002,intact,453309,4932988
513A,5130001,intact,469142,4962455
513B,5130002,intact,469051,4962800
514A,5140001,intact,431133,4965998
515A,5150001,intact,404287,5089078
517A,5170001,intact,635785,4987348
518A,5180001,intact,574109,5166511
518B,5180002,intact,574127,5167696
519A,5190001,intact,385262,4949127
520A,5200001,intact,656515,4959417
521B,5210002,intact,526821,4934310
521C,5210003,intact,526888,4934489
522A,5220001,intact,429153,4872952
522B,5220002,intact,428905,4872821
523A,5230001,intact,356746,4924745
524A,5240001,intact,585334,4938305
525A,5250001,intact,640603,4976217
526B,5260002,intact,649191,4969463
528A,5280001,intact,568716,4931769
529A,5290001,intact,371351,4862925
530A,5300001,intact,424371,4848169
531A,5310001,intact,431139,4870018
533A,5330001,intact,567025,4993463
534A,5340001,intact,411143,4943735
535A,5350001,intact,544347,4936425
535C,5350003,intact,545717,4938398
536A,5360001,intact,578066,5227985
537A,5370001,intact,408275,4914862
537B,5370002,intact,408280,4914834
539A,5390001,intact,434723,4936300
