"","dates.QC","Field1","Plot.QA.QC","ObsID","SignProtection.","Landowner","PK_NestSite","IntactDuringLastYearObs.","FK_NestArea","NestSiteName","YearLastMonitored","YearLastNestIntact","YearLastEagleOccupancy","YearFirstMonitored","HistoryComments","LandscapeHabitat","EH","FK_Geocode","County","IFWRegion","State.Province","Species","DBH","DateSiteEvaluation","TreeCondition","NestTreeStandProminence","NestTreeComments","Former.MDIFW.nest..","EO.Code....","Former.USFWS.nest..","Former.NAS.nest..","Comments.nest...change","Former.USFWS.nest..1","Former.NAS.nest..1","Comments.nest...change1","Former.USFWS.nest..11","Former.NAS.nest..11","Comments.nest...change11","Edits.","nest_id","OBJECTID","PointID","Accuracy","Type","ObsID_1","EO_ID","Year","Month","Day","TimeStart","TimeEnd","UseID","ExtDB","ExtDBID","ExtJoinFie","ExtJoinVal","POINT_X","POINT_Y"
"23",TRUE,NA,TRUE,1578,"","","007D","No",7,"Little Swan Island",2014,1963,1963,1963,"","coastal","BE007D",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-019","","SA-11 (< 1971)","",NA,NA,NA,NA,NA,NA,"","007D",2974,"Point_1578",12,"Animal Location",1578,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","007D",436251,4879430
"24",TRUE,NA,TRUE,1579,"","","008A","No",8,"Swan Island - Big Pond vicinity",2013,1992,1984,1962,"","coastal","BE008A",23801,"Sagadahoc","B","ME","northern red oak",80.3,"6/8/1977","alive - top intact","dominant","","","ABNKC10010-020","13A (1972 - 1973); 10 (1974 - 1976)","SA-2 (< 1971)","",NA,NA,NA,NA,NA,NA,"","008A",2963,"Point_1579",12,"Animal Location",1579,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008A",435939,4877640
"25",FALSE,NA,TRUE,1580,"managed property with minimal threat from river","MDIFW - Swan Island WMA","008B","Yes",8,"Swan Island - Shipyard Point vicinity",2014,2014,2014,1964,"","coastal","BE008B",23801,"Sagadahoc","B","ME","eastern white pine",69.6,"6/8/1977","alive - top intact","dominant","","","ABNKC10010-021","13B (1972 -1973); 9 (1974 - 1976)","SA-15 (< 1971)","",NA,NA,NA,NA,NA,NA,"","008B",2967,"Point_1580",12,"Animal Location",1580,3862,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","008B",436418.838699,4877490
"26",TRUE,NA,TRUE,1581,"","","008C","No",8,"Kennebec River upland - Webbs Point vicinity",2013,1967,1963,1962,"","coastal","BE008C",15070,"Lincoln","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-022","","LI-4 (< 1971)","",NA,NA,NA,NA,NA,NA,"","008C",2961,"Point_1581",12,"Animal Location",1581,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008C",437867,4876010
"27",TRUE,NA,TRUE,1582,"","","008D","No",8,"Swan Island - Shipyard Point",2013,1968,1965,1965,"","coastal","BE008D",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-023","","SA-13 (< 1971)","",NA,NA,NA,NA,NA,NA,"","008D",2964,"Point_1582",12,"Animal Location",1582,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008D",436245.06627,4877249.50468
"28",TRUE,NA,TRUE,1583,"","","008E","No",8,"Swan Island - Farm Ponds vicinity",2013,1989,1983,1983,"","coastal","BE008E",23801,"Sagadahoc","B","ME","northern red oak",NA,"","alive - top intact","","","","ABNKC10010-024","","","",NA,NA,NA,NA,NA,NA,"","008E",2966,"Point_1583",12,"Animal Location",1583,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008E",436521.754884,4877815.92895
"29",TRUE,NA,TRUE,1584,"","","008F","No",8,"Swan Island - Farm Ponds vicinity",2013,1992,1988,1985,"","coastal","BE008F",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-025","","","",NA,NA,NA,NA,NA,NA,"","008F",2965,"Point_1584",12,"Animal Location",1584,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008F",436466.764643,4878004.31606
"30",TRUE,NA,TRUE,1585,"","","008G","No",8,"Swan Island - Big Pond vicinity",2013,1989,1987,1986,"","coastal","BE008G",23801,"Sagadahoc","B","ME","northern red oak",NA,"","alive - top intact","","","","ABNKC10010-026","","","",NA,NA,NA,NA,NA,NA,"","008G",2962,"Point_1585",12,"Animal Location",1585,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008G",435523,4876990
"31",TRUE,NA,TRUE,2002,"","","008H","No",8,"Swan Island Point upland",2013,1995,1994,1991,"","coastal","BE008H",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-443","","","",NA,NA,NA,NA,NA,NA,"","008H",2959,"Point_2002",12,"Animal Location",2002,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008H",434772,4876260
"32",TRUE,NA,TRUE,2198,"","","008I","No",8,"Swan Island Point vicinity",2013,1995,NA,1995,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","BE008I",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-639","","","",NA,NA,NA,NA,NA,NA,"","008I",2960,"Point_2198",12,"Animal Location",2198,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","008I",435132,4876180
