project,project_num,name,faa_lit,long,lat,pad_elv_ft,strc_ht_ft,tot_elv_ft,model,hub_ht_m,airport,latitude,longitude
Rollins,3,24,NONE,-68.3977425,45.3249801,688,389,1077,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 29.93""","W 68° 23' 51.87"""
Rollins,3,25,SFRL,-68.39642425,45.32296676,749,389,1138,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 22.68""","W 68° 23' 47.13"""
Rollins,3,26,NONE,-68.39322296,45.32162452,890,389,1279,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 17.85""","W 68° 23' 35.60"""
Rollins,3,27,SFRL,-68.39383798,45.31904619,867,389,1256,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 08.56""","W 68° 23' 37.81"""
Rollins,3,28,SFRL,-68.39096018,45.31133309,588,389,977,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 18' 40.80""","W 68° 23' 27.46"""
Rollins,3,29,NONE,-68.3871497,45.30854988,692,389,1081,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 18' 30.78""","W 68° 23' 13.74"""
Rollins,3,30,SFRL,-68.38382451,45.3057957,723,389,1112,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 18' 20.86""","W 68° 23' 01.77"""
Rollins,3,31,NONE,-68.38782037,45.303214,691,389,1080,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 18' 11.58""","W 68° 23' 16.15"""
Rollins,3,32,SFRL,-68.39287374,45.30176646,651,389,1040,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 18' 06.36""","W 68° 23' 34.34"""
Rollins,3,33,NONE,-68.39645309,45.29985023,706,389,1095,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 17' 59.46""","W 68° 23' 47.23"""
Rollins,3,34,SFRL,-68.39405202,45.29658685,697,389,1086,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 17' 47.72""","W 68° 23' 38.58"""
Rollins,3,35,NONE,-68.39304353,45.2943676,805,389,1194,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 17' 39.73""","W 68° 23' 34.95"""
Rollins,3,36,SFRL,-68.39118503,45.29273762,828,389,1217,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 17' 34.02""","W 68° 23' 28.95"""
Rollins,3,37,SFRL,-68.40374399,45.28199365,574,389,963,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 16' 55.18""","W 68° 24' 13.48"""
Rollins,3,38,NONE,-68.40077033,45.28105973,634,389,1023,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 16' 51.82""","W 68° 24' 02.77"""
Rollins,3,39,NONE,-68.39856924,45.27939209,655,389,1044,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 16' 45.81""","W 68° 23' 54.85"""
Rollins,3,40,SFRL,-68.39658566,45.27647415,573,389,962,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 16' 35.31""","W 68° 23' 47.71"""
Stetson I,4,1,SFRL,-67.99456409,45.48243821,780,389,1169,GE 1.5MW SLE,80,Houlton International,"45° 28' 56.45"" N","67° 59' 40.48"" W"
Stetson I,4,2,NONE,-67.99344372,45.48554191,772,389,1161,GE 1.5MW SLE,80,Houlton International,"45° 29' 7.63"" N","67° 59' 36.45"" W"
Stetson I,4,3,NONE,-67.99069488,45.48832725,758,389,1147,GE 1.5MW SLE,80,Houlton International,"45° 29' 17.65"" N","67° 59' 26.56"" W"
Stetson I,4,4,SFRL,-67.98658394,45.48984651,832,389,1221,GE 1.5MW SLE,80,Houlton International,"45° 29' 23.12"" N","67° 59' 11.76"" W"
Stetson I,4,5,NONE,-67.98782028,45.49244972,890,389,1279,GE 1.5MW SLE,80,Houlton International,"45° 29' 32.49"" N","67° 59' 16.21"" W"
