developer,project,turbine_id,model,hub_ht_m,rotor_diam,rotor_top,rotor_btm,pad_elev_m,sweep_top,sweep_btm,long,lat
First Wind,Stetson I,13,GE SLE 1.5MW,80,77,119,42,317,436,359,-67.98066443,45.51093007
First Wind,Stetson I,14,GE SLE 1.5MW,80,77,119,42,326,445,368,-67.97797429,45.51318334
First Wind,Stetson I,15,GE SLE 1.5MW,80,77,119,42,325,443,366,-67.97865118,45.51524991
First Wind,Stetson I,16,GE SLE 1.5MW,80,77,119,42,305,424,347,-67.97916457,45.51727079
First Wind,Stetson I,17,GE SLE 1.5MW,80,77,119,42,287,406,329,-67.97837572,45.51990046
First Wind,Stetson I,18,GE SLE 1.5MW,80,77,119,42,294,413,336,-67.97752798,45.52230429
First Wind,Stetson I,19,GE SLE 1.5MW,80,77,119,42,327,445,368,-67.97682136,45.52447644
First Wind,Stetson I,20,GE SLE 1.5MW,80,77,119,42,329,448,371,-67.9769343,45.52664766
First Wind,Stetson I,21,GE SLE 1.5MW,80,77,119,42,304,423,346,-67.97774748,45.52850118
First Wind,Stetson I,22,GE SLE 1.5MW,80,77,119,42,294,413,336,-67.977382,45.53036077
First Wind,Stetson I,23,GE SLE 1.5MW,80,77,119,42,294,412,335,-67.97765591,45.53290923
First Wind,Stetson I,24,GE SLE 1.5MW,80,77,119,42,290,408,331,-67.97716658,45.5351381
First Wind,Stetson I,25,GE SLE 1.5MW,80,77,119,42,281,399,322,-67.97683105,45.53728611
First Wind,Stetson I,26,GE SLE 1.5MW,80,77,119,42,303,422,345,-67.97623974,45.53953043
First Wind,Stetson I,27,GE SLE 1.5MW,80,77,119,42,301,420,343,-67.97493505,45.54150785
First Wind,Stetson I,28,GE SLE 1.5MW,80,77,119,42,288,407,330,-67.97484869,45.54347971
First Wind,Stetson I,29,GE SLE 1.5MW,80,77,119,42,290,409,332,-67.97498129,45.54541515
First Wind,Stetson I,30,GE SLE 1.5MW,80,77,119,42,264,383,306,-67.97470395,45.54800539
First Wind,Stetson I,31,GE SLE 1.5MW,80,77,119,42,264,382,305,-67.97279576,45.55007599
First Wind,Stetson I,32,GE SLE 1.5MW,80,77,119,42,248,366,289,-67.97224615,45.55215882
First Wind,Stetson I,33,GE SLE 1.5MW,80,77,119,42,226,344,267,-67.97154,45.55425942
First Wind,Stetson I,34,GE SLE 1.5MW,80,77,119,42,220,338,261,-67.9681092,45.56249205
First Wind,Stetson I,35,GE SLE 1.5MW,80,77,119,42,222,340,263,-67.96853325,45.56449311
First Wind,Stetson I,36,GE SLE 1.5MW,80,77,119,42,216,335,258,-67.96842413,45.56704086
First Wind,Stetson I,37,GE SLE 1.5MW,80,77,119,42,207,325,248,-67.96580237,45.57027378
First Wind,Stetson I,38,GE SLE 1.5MW,80,77,119,42,205,323,246,-67.96539831,45.5727118
First Wind,Stetson II,1,GE SLE 1.5MW,80,77,119,42,196,314,237,-67.95944238,45.58500456
First Wind,Stetson II,2,GE SLE 1.5MW,80,77,119,42,208,327,250,-67.96090631,45.58691864
First Wind,Stetson II,3,GE SLE 1.5MW,80,77,119,42,217,335,258,-67.96126461,45.58899986
First Wind,Stetson II,4,GE SLE 1.5MW,80,77,119,42,215,333,256,-67.961138,45.59123201
First Wind,Stetson II,5,GE SLE 1.5MW,80,77,119,42,231,350,273,-67.959419,45.59393672
First Wind,Stetson II,6,GE SLE 1.5MW,80,77,119,42,221,339,262,-67.95864852,45.59596275
First Wind,Stetson II,7,GE SLE 1.5MW,80,77,119,42,191,309,232,-67.96840398,45.61704117
First Wind,Stetson II,8,GE SLE 1.5MW,80,77,119,42,200,319,242,-67.97079588,45.61962805
First Wind,Stetson II,9,GE SLE 1.5MW,80,77,119,42,223,342,265,-67.97525284,45.62207109
First Wind,Stetson II,10,GE SLE 1.5MW,80,77,119,42,246,365,288,-67.97714877,45.62425795
First Wind,Stetson II,11,GE SLE 1.5MW,80,77,119,42,274,393,316,-67.98014489,45.62666596
First Wind,Stetson II,12,GE SLE 1.5MW,80,77,119,42,273,391,314,-67.97981177,45.62873606
First Wind,Stetson II,13,GE SLE 1.5MW,80,77,119,42,278,397,320,-67.98008363,45.63080927
First Wind,Stetson II,14,GE SLE 1.5MW,80,77,119,42,262,380,303,-67.97973913,45.63286592
First Wind,Stetson II,15,GE SLE 1.5MW,80,77,119,42,246,364,287,-67.97852084,45.63475006
First Wind,Stetson II,16,GE SLE 1.5MW,80,77,119,42,240,358,281,-67.97769128,45.6367638
First Wind,Stetson II,17,GE SLE 1.5MW,80,77,119,42,222,340,263,-67.97817573,45.63910025
Independence Wind,Record Hill,1,Siemens 93 2.3MW,80,93,127,34,610,737,644,-70.63341381,44.68335612
Independence Wind,Record Hill,2,Siemens 93 2.3MW,80,93,127,34,601,728,635,-70.63353585,44.68140061
Independence Wind,Record Hill,3,Siemens 93 2.3MW,80,93,127,34,608,735,642,-70.63301456,44.67943922
Independence Wind,Record Hill,4,Siemens 93 2.3MW,80,93,127,34,582,708,615,-70.63287146,44.67748147
Independence Wind,Record Hill,5,Siemens 93 2.3MW,80,93,127,34,578,705,612,-70.63227831,44.67563885
Independence Wind,Record Hill,6,Siemens 93 2.3MW,80,93,127,34,596,723,630,-70.63135311,44.67370469
Independence Wind,Record Hill,7,Siemens 93 2.3MW,80,93,127,34,570,697,604,-70.6318932,44.67163824
Independence Wind,Record Hill,8,Siemens 93 2.3MW,80,93,127,34,579,706,613,-70.63180882,44.66932115
Independence Wind,Record Hill,9,Siemens 93 2.3MW,80,93,127,34,598,725,632,-70.63216683,44.66717216
